pilot_case_id,crosswalk_key,historical_place_key,source_name_1945,normalized_name_candidate,post1948_scope_bucket,core_entity_type,core_entity_code,core_entity_name_ar,core_governorate_name_ar,e1_4_review_track,batch_f_stage_v0_38,batch_f_priority_v0_38,batch_f_ui_module_v0_38,batch_f_required_action_v0_38,source_locator_1_type,source_locator_1_reference,source_locator_1_page_or_sheet,source_locator_1_confidence,source_locator_2_type,source_locator_2_reference,reviewer_1_decision,reviewer_1_notes,reviewer_2_decision,reviewer_2_notes,final_review_board_state
BF38-PILOT-017,core_crosswalk_e_0663,mandate_1945__ramallah__kaubar,Kaubar,kaubar,palwakf_core_candidate_west_bank,community,R026,كوبر,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-018,core_crosswalk_e_0659,mandate_1945__ramallah__jiljilya,Jiljilya,jiljilya,palwakf_core_candidate_west_bank,community,R066,جلجليا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-019,core_crosswalk_e_0657,mandate_1945__ramallah__jibya,Jibya,jibya,palwakf_core_candidate_west_bank,community,R074,جيبيا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-020,core_crosswalk_e_0658,mandate_1945__ramallah__jifna,Jifna,jifna,palwakf_core_candidate_west_bank,community,R047,جفنا,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-021,core_crosswalk_e_0652,mandate_1945__ramallah__beitillu,Beitillu,beitillu,palwakf_core_candidate_west_bank,community,R006,بيتللو,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-022,core_crosswalk_e_0661,mandate_1945__ramallah__kafr_malik,Kafr Malik,kafr malik,palwakf_core_candidate_west_bank,community,R033,كفر مالك,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-023,core_crosswalk_e_0581,mandate_1945__nablus__nablus,Nablus,nablus,palwakf_core_candidate_west_bank,community,N001,نابلس,محافظة نابلس,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-024,core_crosswalk_e_0084,mandate_1945__jenin__anin,Anin,anin,palwakf_core_candidate_west_bank,community,J020,عانين,محافظة جنين,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-025,core_crosswalk_e_0067,mandate_1945__jerusalem__bayt_iksa,Bayt Iksa,beit iksa,palwakf_core_candidate_west_bank,community,JE020,بيت اكسا,محافظة القدس,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-026,core_crosswalk_e_0069,mandate_1945__jerusalem__bayt_jala,Bayt Jala,beit jala,palwakf_core_candidate_west_bank,community,B003,بيت جالا,محافظة بيت لحم,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-027,core_crosswalk_e_0072,mandate_1945__jerusalem__bayt_sahur,Bayt Sahur,beit sahur,palwakf_core_candidate_west_bank,community,B002,بيت ساحور,محافظة بيت لحم,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-028,core_crosswalk_e_0073,mandate_1945__jerusalem__bethlehem,Bethlehem,beithlehem,palwakf_core_candidate_west_bank,community,B001,بيت لحم,محافظة بيت لحم,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-029,core_crosswalk_e_0671,mandate_1945__ramallah__ras_karkar,Ras Karkar,ras karkar,palwakf_core_candidate_west_bank,community,R049,راس كركر,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-030,core_crosswalk_e_0673,mandate_1945__ramallah__silwad,Silwad,silwad,palwakf_core_candidate_west_bank,community,R008,سلواد,محافظة رام الله والبيرة,T1_fast_track_locator_closure_queue,F.1_locator_intake_and_dual_signoff,P1_execute_first,review_board_locator_queue,collect_two_source_locators_then_require_dual_reviewer_signoff,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-031,core_crosswalk_e_0465,mandate_1945__jerusalem__al_sawahira,al-Sawahira,sawahira,palwakf_core_candidate_west_bank,community,JE044,العيساويه,محافظة القدس,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-032,core_crosswalk_e_0386,mandate_1945__hebron__khallat_al_nawamis,Khallat al-Nawamis,khallat nawamis,palwakf_core_candidate_west_bank,community,H001,الخليل,محافظة الخليل,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-033,core_crosswalk_e_0394,mandate_1945__hebron__al_rihiya,al-Rihiya,rihiya,palwakf_core_candidate_west_bank,lgu,H001-640,ريحيه,محافظة الخليل,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-034,core_crosswalk_e_0097,mandate_1945__jenin__kh_burqin,Kh. Burqin,khirbat burqin,palwakf_core_candidate_west_bank,community,J012,بيرقين,محافظة جنين,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-035,core_crosswalk_e_0089,mandate_1945__jenin__bartaa,Barta'a,barta a,palwakf_core_candidate_west_bank,community,J018,برطعه الشرقيه,محافظة جنين,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-036,core_crosswalk_e_0113,mandate_1945__nablus__iraq_burin,Iraq Burin,iraq burin,palwakf_core_candidate_west_bank,lgu,N055-436,عراق بورين,محافظة نابلس,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-037,core_crosswalk_e_0525,mandate_1945__jenin__al_shariah,al-Shari'ah,shari ah,palwakf_core_candidate_west_bank,community,J018,برطعه الشرقيه,محافظة جنين,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-038,core_crosswalk_e_0301,mandate_1945__gaza__nazla,Nazla,nazla,palwakf_core_candidate_gaza,lgu,NG002-1134,النزله-جباليا,محافظة شمال غزة,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-039,core_crosswalk_e_0800,mandate_1945__tulkarm__tulkarm_r_c,Tulkarm R.C.,tulkarm r c,palwakf_core_candidate_west_bank,community,T001,طولكرم,محافظة طولكرم,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-040,core_crosswalk_e_0304,mandate_1945__gaza__nuseirat,Nuseirat,nuseirat,palwakf_core_candidate_gaza,community,g3,النصيرات,محافظة غزة,T2_near_boundary_review_queue,F.2_spatial_exception_review,P2_map_specialist,spatial_exception_console,open_map_snapshot_measure_distance_record_exception_decision,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-041,core_crosswalk_e_0797,mandate_1945__tulkarm__al_tira,al-Tira,tira,external_reference_inside_1948_not_core_operational,lgu,Ramla001-1113,الطيره - طيره دندن,فلسطين التاريخية,T4_core_geometry_repair_or_export_queue,F.3_geometry_repair_intake,P3_core_boundary_repair,geometry_repair_console,request_core_boundary_reexport_or_geometry_repair_snapshot_no_core_write,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-042,core_crosswalk_e_0001,mandate_1945__acre__ayn_al_asad,'Ayn al-'Asad,ayn asad,external_reference_inside_1948_not_core_operational,lgu,Aka001-1204,عين الاسد,فلسطين التاريخية,T4_core_geometry_repair_or_export_queue,F.3_geometry_repair_intake,P3_core_boundary_repair,geometry_repair_console,request_core_boundary_reexport_or_geometry_repair_snapshot_no_core_write,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-043,core_crosswalk_e_0017,mandate_1945__ramle__al_burj,al-Burj,burj,external_reference_inside_1948_not_core_operational,lgu,Ramla001-1082,البرج,فلسطين التاريخية,T4_core_geometry_repair_or_export_queue,F.3_geometry_repair_intake,P3_core_boundary_repair,geometry_repair_console,request_core_boundary_reexport_or_geometry_repair_snapshot_no_core_write,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-044,core_crosswalk_e_0003,mandate_1945__acre__bina,Bi'na,bi na,external_reference_inside_1948_not_core_operational,lgu,Aka001-1168,خربه عربين -القليطات,فلسطين التاريخية,T4_core_geometry_repair_or_export_queue,F.3_geometry_repair_intake,P3_core_boundary_repair,geometry_repair_console,request_core_boundary_reexport_or_geometry_repair_snapshot_no_core_write,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-045,core_crosswalk_e_0004,mandate_1945__acre__al_birwa,al-Birwa,birwa,external_reference_inside_1948_not_core_operational,lgu,Aka001-1083,البروه,فلسطين التاريخية,T4_core_geometry_repair_or_export_queue,F.3_geometry_repair_intake,P3_core_boundary_repair,geometry_repair_console,request_core_boundary_reexport_or_geometry_repair_snapshot_no_core_write,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-046,core_crosswalk_e_0035,mandate_1945__gaza__isdud,Isdud,isdud,palwakf_core_candidate_gaza,,,,,T5_manual_unmatched_research_queue,F.4_manual_historical_research_workbench,P4_historical_research,manual_research_workbench,create_manual_research_case_before_any_core_candidate,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-047,core_crosswalk_e_0036,mandate_1945__haifa__abu_shusha,Abu  Shusha,abu shusha,external_reference_inside_1948_not_core_operational,,,,,T5_manual_unmatched_research_queue,F.4_manual_historical_research_workbench,P4_historical_research,manual_research_workbench,create_manual_research_case_before_any_core_candidate,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-048,core_crosswalk_e_0037,mandate_1945__haifa__ara,Ara,ara,external_reference_inside_1948_not_core_operational,,,,,T5_manual_unmatched_research_queue,F.4_manual_historical_research_workbench,P4_historical_research,manual_research_workbench,create_manual_research_case_before_any_core_candidate,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-049,core_crosswalk_e_0038,mandate_1945__haifa__arab_al_fuqara,Arab al-Fuqara',arab fuqara,external_reference_inside_1948_not_core_operational,,,,,T5_manual_unmatched_research_queue,F.4_manual_historical_research_workbench,P4_historical_research,manual_research_workbench,create_manual_research_case_before_any_core_candidate,,,,,,,,,,,not_started_real_human_review
BF38-PILOT-050,core_crosswalk_e_0039,mandate_1945__haifa__arara,Ar'ara,ar ara,external_reference_inside_1948_not_core_operational,,,,,T5_manual_unmatched_research_queue,F.4_manual_historical_research_workbench,P4_historical_research,manual_research_workbench,create_manual_research_case_before_any_core_candidate,,,,,,,,,,,not_started_real_human_review
